Vivado Simulator 2020.2
Time resolution is 1 ps
Time:               199000, Counter:         -29, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               201000, Counter:         -28, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               203000, Counter:         -27, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               205000, Counter:         -26, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               207000, Counter:         -25, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               209000, Counter:         -24, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               211000, Counter:         -23, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               213000, Counter:         -22, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               215000, Counter:         -21, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               217000, Counter:         -20, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               219000, Counter:         -19, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               221000, Counter:         -18, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               223000, Counter:         -17, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               225000, Counter:         -16, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               227000, Counter:         -15, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               229000, Counter:         -14, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               231000, Counter:         -13, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               233000, Counter:         -12, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               235000, Counter:         -11, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               237000, Counter:         -10, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               239000, Counter:          -9, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               241000, Counter:          -8, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               243000, Counter:          -7, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               245000, Counter:          -6, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               247000, Counter:          -5, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               249000, Counter:          -4, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               251000, Counter:          -3, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               253000, Counter:          -2, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               255000, Counter:          -1, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               257000, Counter:           0, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               259000, Counter:           1, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               261000, Counter:           2, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               263000, Counter:           3, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               265000, Counter:           4, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               267000, Counter:           5, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               269000, Counter:           6, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               271000, Counter:           7, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               273000, Counter:           8, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               275000, Counter:           9, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               277000, Counter:          10, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               279000, Counter:          11, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               281000, Counter:          12, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               283000, Counter:          13, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               285000, Counter:          14, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               287000, Counter:          15, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               289000, Counter:          16, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               291000, Counter:          17, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               293000, Counter:          18, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               295000, Counter:          19, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               297000, Counter:          20, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               299000, Counter:          21, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               301000, Counter:          22, U: 1, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               303000, Counter:          23, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               305000, Counter:          24, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               307000, Counter:          25, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               309000, Counter:          26, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               311000, Counter:          27, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               313000, Counter:          28, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               315000, Counter:          29, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               317000, Counter:          30, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               319000, Counter:          31, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               321000, Counter:          32, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
Time:               323000, Counter:          33, U: 0, V: 1, W: 1: dutyA:  45: dutyB:  85 :dutyC: 128
